freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,LDC,MIO_EUR,CY	3 	3 	3 	4 	4 	4 	15 	4 	12 	5 	5 	6 	7 	5 	190 	190 	38 	23 	40 	68 	93 	83 	82 	31 
A,TOTAL,LDC,MIO_EUR,CZ	37 	37 	32 	39 	39 	30 	38 	33 	30 	32 	43 	60 	83 	110 	141 	175 	172 	188 	177 	165 	176 	192 	461 	369 
A,TOTAL,LDC,MIO_EUR,DE	1954 	2226 	1932 	2514 	2652 	2420 	3193 	3640 	3201 	3356 	3363 	5104 	4497 	4727 	4794 	5938 	6262 	6839 	6875 	7072 	6598 	7882 	11478 	9135 
A,TOTAL,LDC,MIO_EUR,DK	125 	138 	189 	144 	383 	142 	160 	191 	184 	183 	353 	363 	438 	411 	522 	624 	735 	821 	898 	1041 	927 	1098 	1516 	1216 
A,TOTAL,LDC,MIO_EUR,EE	4 	3 	4 	4 	3 	0 	2 	1 	3 	4 	2 	7 	9 	2 	2 	4 	3 	3 	12 	5 	3 	8 	8 	5 
A,TOTAL,LDC,MIO_EUR,EL	150 	202 	115 	160 	139 	80 	118 	94 	121 	201 	259 	183 	159 	120 	232 	151 	125 	161 	188 	258 	193 	299 	352 	386 
A,TOTAL,LDC,MIO_EUR,ES	1448 	1477 	1525 	1362 	1629 	2216 	2441 	2591 	4413 	2166 	2697 	3759 	4014 	5285 	5765 	5707 	4940 	5407 	5981 	6413 	5182 	5632 	9517 	8905 
A,TOTAL,LDC,MIO_EUR,EU27_2020	: 	: 	12444 	11362 	12092 	14924 	15743 	18860 	22723 	17268 	20424 	28047 	28997 	31207 	33101 	34939 	32170 	33261 	35973 	38068 	31601 	35391 	65370 	50681 
A,TOTAL,LDC,MIO_EUR,FI	166 	153 	141 	114 	262 	141 	160 	205 	281 	113 	218 	238 	217 	205 	253 	253 	236 	516 	806 	287 	241 	471 	827 	233 
A,TOTAL,LDC,MIO_EUR,FR	1928 	2589 	2382 	2201 	2342 	3559 	3058 	4032 	5195 	4276 	3815 	4312 	5316 	4868 	5065 	5141 	4410 	4157 	4161 	4589 	4042 	4173 	9667 	6734 
