freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ODA,MEUR_KP21,EE	1 	1 	3 	2 	8 	14 	19 	18 	22 	19 	20 	24 	24 	29 	34 	37 	46 	43 	45 	46 	46 	51 	166 
A,ODA,MEUR_KP21,EL	311 	282 	356 	376 	294 	344 	363 	381 	486 	424 	373 	295 	246 	178 	188 	217 	339 	282 	250 	332 	292 	288 	318 
A,ODA,MEUR_KP21,ES	1893 	2720 	2448 	2251 	2448 	2912 	3503 	4186 	5191 	5148 	4883 	3263 	1725 	1918 	1537 	1361 	4115 	2416 	2305 	2505 	2459 	2840 	3732 
A,ODA,MEUR_KP21,EU27_2020	31325 	33321 	35380 	35722 	36337 	46205 	46606 	46349 	49698 	48431 	50671 	49151 	45099 	45206 	47337 	54638 	63664 	63091 	62410 	60925 	68877 	70981 	86959 
A,ODA,MEUR_KP21,FI	567 	592 	662 	666 	733 	963 	874 	918 	1004 	1131 	1224 	1199 	1182 	1214 	1361 	1262 	1041 	1036 	881 	1068 	1150 	1266 	1448 
A,ODA,MEUR_KP21,FR	5980 	6170 	7508 	8128 	8496 	9860 	10105 	8423 	8618 	10306 	10987 	10434 	10326 	9351 	8714 	8771 	9317 	10707 	11475 	11149 	14237 	14139 	16313 
A,ODA,MEUR_KP21,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	39 	62 	49 	39 	51 	72 	67 	69 	74 	121 
A,ODA,MEUR_KP21,HU	: 	: 	: 	26 	75 	103 	156 	89 	84 	101 	100 	116 	107 	112 	126 	159 	202 	141 	254 	286 	382 	368 	339 
A,ODA,MEUR_KP21,IE	358 	424 	530 	544 	589 	679 	925 	980 	1042 	855 	820 	784 	733 	740 	711 	679 	760 	772 	816 	869 	871 	976 	2161 
A,ODA,MEUR_KP21,IS	12 	16 	18 	21 	22 	25 	39 	40 	51 	44 	34 	28 	30 	38 	37 	43 	56 	57 	61 	55 	55 	60 	80 
A,ODA,MEUR_KP21,IT	2120 	2503 	3302 	2785 	2496 	5059 	3508 	3423 	3884 	2684 	2553 	3455 	2329 	2793 	3238 	3831 	4829 	5416 	4454 	3922 	3878 	5303 	6177 
A,ODA,MEUR_KP21,LI	: 	: 	: 	: 	: 	: 	: 	17 	21 	24 	24 	27 	25 	24 	24 	23 	24 	23 	24 	24 	25 	22 	27 
A,ODA,MEUR_KP21,LT	: 	4 	3 	3 	13 	21 	32 	51 	44 	36 	37 	48 	51 	47 	42 	53 	62 	61 	61 	66 	67 	73 	200 
A,ODA,MEUR_KP21,LU	245 	283 	280 	302 	324 	336 	354 	412 	405 	415 	405 	379 	387 	395 	379 	380 	415 	433 	452 	468 	421 	456 	475 
A,ODA,MEUR_KP21,LV	: 	: 	3 	2 	13 	16 	16 	16 	18 	20 	16 	18 	20 	22 	23 	25 	32 	33 	32 	33 	38 	40 	70 
A,ODA,MEUR_KP21,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	12 	17 	16 	16 	18 	16 	20 	24 	30 	38 	48 	44 	40 
A,ODA,MEUR_KP21,NL	4900 	4899 	4721 	4588 	4358 	5196 	5352 	5489 	5721 	5434 	5600 	5312 	4931 	4639 	4748 	5789 	5013 	4849 	5121 	4905 	4794 	4452 	5798 
A,ODA,MEUR_KP21,NO	2172 	2326 	2646 	2748 	2658 	2969 	2866 	3224 	3051 	3608 	3511 	3318 	3330 	3854 	3754 	4159 	4503 	4017 	3823 	4194 	4544 	3951 	4045 
A,ODA,MEUR_KP21,PL	46 	51 	20 	36 	139 	210 	289 	301 	263 	324 	312 	329 	356 	399 	368 	424 	666 	642 	678 	701 	728 	821 	3048 
A,ODA,MEUR_KP21,PT	441 	434 	476 	380 	1089 	385 	389 	411 	505 	428 	566 	589 	525 	418 	366 	307 	337 	362 	346 	353 	374 	378 	397 
A,ODA,MEUR_KP21,RO	: 	: 	: 	: 	: 	: 	: 	: 	108 	139 	103 	140 	124 	116 	184 	152 	196 	208 	226 	235 	278 	353 	361 
A,ODA,MEUR_KP21,SE	2375 	2423 	2710 	2642 	2712 	3385 	3863 	3779 	3945 	4234 	3942 	4343 	4197 	4449 	4928 	6741 	4651 	5174 	5541 	5101 	5939 	5017 	5118 
A,ODA,MEUR_KP21,SI	: 	: 	: 	: 	: 	37 	45 	49 	56 	59 	51 	52 	52 	52 	52 	63 	81 	73 	75 	81 	82 	98 	150 
A,ODA,MEUR_KP21,SK	14 	19 	14 	24 	37 	71 	64 	64 	75 	62 	63 	69 	68 	71 	69 	84 	106 	116 	125 	108 	127 	131 	152 
A,ODA,MEUR_KP21,TR	75 	76 	77 	57 	245 	380 	441 	318 	371 	376 	466 	633 	1256 	1641 	1906 	2399 	4077 	5551 	6704 	6960 	7013 	6520 	5866 
A,OFLOW_OTH,MEUR_KP21,AT	0 	0 	0 	0 	0 	525 	76 	12 	50 	6 	2 	0 	0 	177 	85 	27 	143 	50 	-4 	188 	55 	-70 	88 
